string,APPEND,key value,Append a value to a key,/commands/append
connection,AUTH,password,Authenticate to the server,/commands/auth
server,BGREWRITEAOF,,Asynchronously rewrite the append-only file,/commands/bgrewriteaof
server,BGSAVE,,Asynchronously save the dataset to disk,/commands/bgsave
string,BITCOUNT,key [start end],Count set bits in a string,/commands/bitcount
string,BITFIELD,key [GET type offset] [SET type offset value] [INCRBY type offset increment] [OVERFLOW WRAP|SAT|FAIL],Perform arbitrary bitfield integer operations on strings,/commands/bitfield
string,BITOP,operation destkey key [key ...],Perform bitwise operations between strings,/commands/bitop
string,BITPOS,key bit [start] [end],Find first bit set or clear in a string,/commands/bitpos
list,BLPOP,key [key ...] timeout,"Remove and get the first element in a list, or block until one is available",/commands/blpop
list,BRPOP,key [key ...] timeout,"Remove and get the last element in a list, or block until one is available",/commands/brpop
list,BRPOPLPUSH,source destination timeout,"Pop a value from a list, push it to another list and return it; or block until one is available",/commands/brpoplpush
sorted_set,BZPOPMIN,key [key ...] timeout,"Remove and return the member with the lowest score from one or more sorted sets, or block until one is available",/commands/bzpopmin
sorted_set,BZPOPMAX,key [key ...] timeout,"Remove and return the member with the highest score from one or more sorted sets, or block until one is available",/commands/bzpopmax
server,CLIENT ID,,Returns the client ID for the current connection,/commands/client-id
server,CLIENT KILL,[ip:port] [ID client-id] [TYPE normal|master|slave|pubsub] [ADDR ip:port] [SKIPME yes/no],Kill the connection of a client,/commands/client-kill
server,CLIENT LIST,[TYPE normal|master|replica|pubsub],Get the list of client connections,/commands/client-list
server,CLIENT GETNAME,,Get the current connection name,/commands/client-getname
server,CLIENT PAUSE,timeout,Stop processing commands from clients for some time,/commands/client-pause
server,CLIENT REPLY,ON|OFF|SKIP,Instruct the server whether to reply to commands,/commands/client-reply
server,CLIENT SETNAME,connection-name,Set the current connection name,/commands/client-setname
server,CLIENT UNBLOCK,client-id [TIMEOUT|ERROR],Unblock a client blocked in a blocking command from a different connection,/commands/client-unblock
cluster,CLUSTER ADDSLOTS,slot [slot ...],Assign new hash slots to receiving node,/commands/cluster-addslots
cluster,CLUSTER COUNT-FAILURE-REPORTS,node-id,Return the number of failure reports active for a given node,/commands/cluster-count-failure-reports
cluster,CLUSTER COUNTKEYSINSLOT,slot,Return the number of local keys in the specified hash slot,/commands/cluster-countkeysinslot
cluster,CLUSTER DELSLOTS,slot [slot ...],Set hash slots as unbound in receiving node,/commands/cluster-delslots
cluster,CLUSTER FAILOVER,[FORCE|TAKEOVER],Forces a replica to perform a manual failover of its master.,/commands/cluster-failover
cluster,CLUSTER FORGET,node-id,Remove a node from the nodes table,/commands/cluster-forget
cluster,CLUSTER GETKEYSINSLOT,slot count,Return local key names in the specified hash slot,/commands/cluster-getkeysinslot
cluster,CLUSTER INFO,,Provides info about Redis Cluster node state,/commands/cluster-info
cluster,CLUSTER KEYSLOT,key,Returns the hash slot of the specified key,/commands/cluster-keyslot
cluster,CLUSTER MEET,ip port,Force a node cluster to handshake with another node,/commands/cluster-meet
cluster,CLUSTER NODES,,Get Cluster config for the node,/commands/cluster-nodes
cluster,CLUSTER REPLICATE,node-id,Reconfigure a node as a replica of the specified master node,/commands/cluster-replicate
cluster,CLUSTER RESET,[HARD|SOFT],Reset a Redis Cluster node,/commands/cluster-reset
cluster,CLUSTER SAVECONFIG,,Forces the node to save cluster state on disk,/commands/cluster-saveconfig
cluster,CLUSTER SET-CONFIG-EPOCH,config-epoch,Set the configuration epoch in a new node,/commands/cluster-set-config-epoch
cluster,CLUSTER SETSLOT,slot IMPORTING|MIGRATING|STABLE|NODE [node-id],Bind a hash slot to a specific node,/commands/cluster-setslot
cluster,CLUSTER SLAVES,node-id,List replica nodes of the specified master node,/commands/cluster-slaves
cluster,CLUSTER REPLICAS,node-id,List replica nodes of the specified master node,/commands/cluster-replicas
cluster,CLUSTER SLOTS,,Get array of Cluster slot to node mappings,/commands/cluster-slots
server,COMMAND,,Get array of Redis command details,/commands/command
server,COMMAND COUNT,,Get total number of Redis commands,/commands/command-count
server,COMMAND GETKEYS,,Extract keys given a full Redis command,/commands/command-getkeys
server,COMMAND INFO,command-name [command-name ...],Get array of specific Redis command details,/commands/command-info
server,CONFIG GET,parameter,Get the value of a configuration parameter,/commands/config-get
