Group,Command,Syntax,Callback
cluster,CLUSTER ADDSLOTS,command_slots,render_simple_string
cluster,CLUSTER BUMPEPOCH,command,render_simple_string
cluster,CLUSTER COUNT-FAILURE-REPORTS,command_node,render_int
cluster,CLUSTER COUNTKEYSINSLOT,command_slot,render_int
cluster,CLUSTER DELSLOTS,command_slots,render_simple_string
cluster,CLUSTER FAILOVER,command_failoverchoice,render_simple_string
cluster,CLUSTER FLUSHSLOTS,command,render_simple_string
cluster,CLUSTER FORGET,command_node,render_simple_string
cluster,CLUSTER GETKEYSINSLOT,command_slot_count,render_list
cluster,CLUSTER INFO,command,render_bulk_string_decode
cluster,CLUSTER KEYSLOT,command_key,render_int
cluster,CLUSTER MEET,command_ip_port,render_simple_string
cluster,CLUSTER MYID,command,render_bulk_string_decode
cluster,CLUSTER NODES,command,render_bulk_string_decode
cluster,CLUSTER REPLICAS,command_node,render_bulk_string_decode
cluster,CLUSTER REPLICATE,command_node,render_simple_string
cluster,CLUSTER RESET,command_resetchoice,render_simple_string
cluster,CLUSTER SAVECONFIG,command,render_simple_string
cluster,CLUSTER SET-CONFIG-EPOCH,command_epoch,render_simple_string
cluster,CLUSTER SETSLOT,command_slot_slotsubcmd_nodex,render_simple_string
cluster,CLUSTER SLAVES,command_node,render_bulk_string_decode
cluster,CLUSTER SLOTS,command,render_list
cluster,READONLY,command,render_simple_string
cluster,READWRITE,command,render_simple_string
connection,AUTH,command_password,render_simple_string
connection,ECHO,command_message,render_bulk_string
connection,HELLO,command_any,render_list
connection,PING,command_messagex,render_bulk_string
connection,QUIT,command,render_simple_string
connection,SELECT,command_index,render_simple_string
connection,CLIENT CACHING,command_yes,render_simple_string
connection,CLIENT GETREDIR,command,render_int
connection,CLIENT TRACKING,command_client_tracking,render_simple_string
connection,CLIENT LIST,command_type_conntype_x,render_bulk_string_decode
connection,CLIENT GETNAME,command,render_bulk_string
connection,CLIENT ID,command,render_int
connection,CLIENT KILL,command_clientkill,render_string_or_int
connection,CLIENT PAUSE,command_timeout,render_simple_string
connection,CLIENT REPLY,command_switch,render_simple_string
connection,CLIENT SETNAME,command_value,render_simple_string
connection,CLIENT UNBLOCK,command_clientid_errorx,render_int
generic,DEL,command_keys,render_int
generic,DUMP,command_key,render_bulk_string
generic,EXISTS,command_keys,render_int
generic,EXPIRE,command_key_second,render_int
generic,EXPIREAT,command_key_timestamp,render_int
generic,KEYS,command_pattern,command_keys
generic,MIGRATE,command_migrate,render_simple_string
generic,MOVE,command_key_index,render_int
generic,OBJECT,command_object_key,render_string_or_int
generic,PERSIST,command_key,render_int
generic,PEXPIRE,command_key_millisecond,render_int
generic,PEXPIREAT,command_key_timestampms,render_int
generic,PTTL,command_key,render_int
generic,RANDOMKEY,command,render_bulk_string
generic,RENAME,command_key_newkey,render_simple_string
generic,RENAMENX,command_key_newkey,render_int
generic,RESTORE,command_restore,render_simple_string
